order_id,user_id,order_time,category,product,price,qty
O85,u4,2025-01-05 10:00:00,Food,Book,91,1
O86,u2,2025-01-04 10:00:00,IT,Book,85,5
O87,u2,2025-01-02 10:00:00,Food,Book,17,4
O88,u5,2025-01-10 10:00:00,Food,Laptop,25,2
O89,u5,2025-01-09 10:00:00,Book,Laptop,52,2
O90,u2,2025-01-02 10:00:00,IT,Book,52,3
O91,u2,2025-01-05 10:00:00,Food,Snack,40,3
O92,u5,2025-01-08 10:00:00,IT,Laptop,49,2
O93,u3,2025-01-10 10:00:00,Book,Keyboard,73,1
O94,u3,2025-01-07 10:00:00,IT,Snack,20,5
O95,u3,2025-01-03 10:00:00,Food,Keyboard,84,4
O96,u1,2025-01-05 10:00:00,Book,Snack,36,4
O97,u4,2025-01-06 10:00:00,IT,Snack,75,3
O98,u5,2025-01-03 10:00:00,Food,Book,60,2
O99,u3,2025-01-11 10:00:00,IT,Book,17,1
O100,u5,2025-01-08 10:00:00,IT,Book,48,5
O101,u2,2025-01-08 10:00:00,IT,Laptop,78,1
O102,u2,2025-01-02 10:00:00,Food,Snack,83,3
O103,u3,2025-01-10 10:00:00,Book,Snack,52,1
O104,u1,2025-01-02 10:00:00,IT,Keyboard,25,3
O105,u1,2025-01-09 10:00:00,IT,Snack,65,1
O106,u5,2025-01-06 10:00:00,Book,Keyboard,70,2
O107,u5,2025-01-09 10:00:00,Food,Keyboard,11,4
O108,u4,2025-01-05 10:00:00,IT,Snack,35,1
O109,u1,2025-01-12 10:00:00,Food,Snack,83,3
O110,u4,2025-01-02 10:00:00,IT,Book,77,3
O111,u5,2025-01-09 10:00:00,Book,Snack,33,4
O112,u5,2025-01-11 10:00:00,Food,Snack,49,5
O113,u3,2025-01-02 10:00:00,Book,Keyboard,20,5
O114,u5,2025-01-11 10:00:00,Food,Laptop,24,1
O115,u3,2025-01-09 10:00:00,IT,Book,74,1
O116,u1,2025-01-03 10:00:00,Food,Keyboard,74,5
O117,u5,2025-01-04 10:00:00,Food,Snack,17,4
O118,u5,2025-01-02 10:00:00,IT,Laptop,43,2
O119,u4,2025-01-05 10:00:00,IT,Keyboard,36,4
O120,u3,2025-01-08 10:00:00,Food,Snack,31,4
O121,u4,2025-01-12 10:00:00,IT,Keyboard,30,2
O122,u5,2025-01-06 10:00:00,Book,Keyboard,55,4
O123,u2,2025-01-02 10:00:00,Book,Laptop,82,3
O124,u1,2025-01-06 10:00:00,Book,Snack,13,3
O125,u2,2025-01-09 10:00:00,Food,Book,25,4
O126,u2,2025-01-11 10:00:00,IT,Keyboard,54,3
O127,u2,2025-01-05 10:00:00,Book,Laptop,100,4
O128,u4,2025-01-06 10:00:00,Book,Laptop,27,2
O129,u1,2025-01-09 10:00:00,IT,Snack,65,4
O130,u2,2025-01-12 10:00:00,Food,Book,87,2
O131,u5,2025-01-05 10:00:00,Book,Laptop,74,5
O132,u1,2025-01-10 10:00:00,Food,Snack,69,3
O133,u2,2025-01-03 10:00:00,IT,Snack,63,1
O134,u5,2025-01-11 10:00:00,IT,Laptop,10,2
O135,u4,2025-01-12 10:00:00,Food,Book,25,2
O136,u4,2025-01-12 10:00:00,IT,Keyboard,34,3
O137,u1,2025-01-11 10:00:00,Food,Laptop,47,3
O138,u4,2025-01-10 10:00:00,Food,Book,73,4
O139,u5,2025-01-10 10:00:00,Book,Laptop,98,5
O140,u4,2025-01-10 10:00:00,IT,Book,56,5
O141,u5,2025-01-11 10:00:00,IT,Laptop,36,2
O142,u5,2025-01-11 10:00:00,Book,Laptop,80,4
O143,u1,2025-01-02 10:00:00,Book,Book,58,2
O144,u1,2025-01-05 10:00:00,IT,Book,81,1
O145,u5,2025-01-06 10:00:00,Food,Keyboard,95,4
O146,u3,2025-01-04 10:00:00,IT,Keyboard,79,3
O147,u2,2025-01-04 10:00:00,IT,Laptop,97,2
O148,u5,2025-01-04 10:00:00,Food,Book,67,5
O149,u2,2025-01-06 10:00:00,Book,Keyboard,100,2
O150,u2,2025-01-09 10:00:00,Book,Laptop,37,5
O151,u2,2025-01-05 10:00:00,Food,Keyboard,50,3
O152,u4,2025-01-11 10:00:00,Food,Book,80,5
O153,u5,2025-01-06 10:00:00,Book,Laptop,12,2
O154,u4,2025-01-07 10:00:00,Book,Snack,72,3
O155,u3,2025-01-03 10:00:00,Food,Snack,96,3
O156,u4,2025-01-06 10:00:00,IT,Keyboard,48,1
O157,u3,2025-01-12 10:00:00,IT,Book,45,5
O158,u4,2025-01-05 10:00:00,Food,Laptop,74,3
O159,u1,2025-01-03 10:00:00,Food,Keyboard,29,2
O160,u1,2025-01-04 10:00:00,Food,Keyboard,23,1
O161,u3,2025-01-05 10:00:00,Book,Laptop,37,2
O162,u2,2025-01-05 10:00:00,Food,Snack,75,5
O163,u3,2025-01-06 10:00:00,IT,Laptop,71,2
O164,u4,2025-01-08 10:00:00,Book,Laptop,29,4
O165,u4,2025-01-11 10:00:00,IT,Book,51,4
O166,u3,2025-01-08 10:00:00,Book,Keyboard,93,5
O167,u4,2025-01-09 10:00:00,Book,Snack,54,1
O168,u5,2025-01-12 10:00:00,Book,Snack,22,4
O169,u3,2025-01-11 10:00:00,IT,Book,63,5
O170,u3,2025-01-04 10:00:00,Food,Snack,46,4
O171,u2,2025-01-12 10:00:00,Book,Snack,28,1
O172,u4,2025-01-06 10:00:00,IT,Laptop,64,2
O173,u3,2025-01-11 10:00:00,Food,Book,18,1
O174,u1,2025-01-07 10:00:00,Book,Snack,77,4
O175,u1,2025-01-12 10:00:00,IT,Keyboard,25,4
O176,u5,2025-01-03 10:00:00,IT,Keyboard,16,3
O177,u4,2025-01-07 10:00:00,Book,Book,97,4
O178,u2,2025-01-08 10:00:00,IT,Laptop,83,3
O179,u2,2025-01-12 10:00:00,Book,Laptop,98,2
O180,u2,2025-01-07 10:00:00,Food,Keyboard,22,1
O181,u4,2025-01-08 10:00:00,Book,Snack,28,4
O182,u4,2025-01-02 10:00:00,Food,Snack,58,2
O183,u4,2025-01-05 10:00:00,IT,Keyboard,76,5
O184,u3,2025-01-10 10:00:00,Book,Laptop,28,5
O185,u3,2025-01-07 10:00:00,IT,Book,29,1
O186,u1,2025-01-03 10:00:00,Book,Snack,83,3
O187,u2,2025-01-07 10:00:00,Food,Snack,10,4
O188,u3,2025-01-05 10:00:00,IT,Keyboard,70,2
O189,u5,2025-01-02 10:00:00,IT,Snack,43,1
O190,u1,2025-01-08 10:00:00,Book,Snack,63,2
O191,u2,2025-01-06 10:00:00,IT,Laptop,56,3
O192,u3,2025-01-03 10:00:00,Food,Snack,93,1
O193,u5,2025-01-03 10:00:00,IT,Laptop,19,2
O194,u5,2025-01-09 10:00:00,IT,Laptop,91,2
O195,u2,2025-01-04 10:00:00,Book,Keyboard,68,1
O196,u4,2025-01-08 10:00:00,Food,Laptop,39,1
O197,u3,2025-01-08 10:00:00,Book,Snack,73,3
O198,u4,2025-01-07 10:00:00,IT,Snack,94,3
O199,u5,2025-01-05 10:00:00,Book,Keyboard,29,1
O200,u4,2025-01-09 10:00:00,Book,Snack,84,2
